itemcode,etfTabCode,itemname,nowVal,risefall,changeVal,changeRate,nav,threeMonthEarnRate,quant,amonut,marketSum,브랜드
435420,7,TIGER 미국나스닥100TR채권혼합Fn,9990,5,-25,-0.25,10006.0,,15633,155,165,TIGER
401590,4,HANARO 글로벌탄소배출권선물ICE(합성),10940,5,-20,-0.18,10905.0,-10.7856,3100,33,164,HANARO
140710,2,KODEX 운송,4505,5,-130,-2.8,4520.0,-16.1845,40494,183,158,KODEX
300950,2,KODEX 게임산업,7505,5,-325,-4.15,7531.0,-15.3056,107970,813,158,KODEX
395290,2,HANARO Fn K-POP&미디어,6550,5,-435,-6.23,6570.0,-3.7879,28728,189,157,HANARO
292560,7,TIGER 일본엔선물,9735,2,65,0.67,9747.0,3.1466,95173,924,156,TIGER
237350,1,KODEX 코스피100,21850,5,-560,-2.5,21894.0,-8.0993,5872,128,153,KODEX
252400,3,KBSTAR 200선물레버리지,10910,5,-590,-5.13,10892.0,-16.3333,53903,597,153,KBSTAR
211900,2,KODEX 배당성장,11745,5,-225,-1.88,11740.0,-6.812,1820,21,153,KODEX
276990,4,KODEX 글로벌4차산업로보틱스(합성),13980,5,-150,-1.06,14113.0,-0.7377,10389,145,152,KODEX
140700,2,KODEX 보험,6020,5,-165,-2.67,6018.0,-3.6605,182892,1100,151,KODEX
266410,2,KODEX 필수소비재,6835,5,-125,-1.8,6855.0,-2.2472,10411,71,150,KODEX
213630,4,ARIRANG 미국다우존스고배당주(합성 H),14560,5,-90,-0.61,14506.0,-7.1904,662,9,150,ARIRANG
419420,4,KODEX 미국클린에너지나스닥,11180,2,140,1.27,11308.0,17.1352,70515,783,145,KODEX
399580,4,KBSTAR 글로벌클린에너지S&P,10360,2,75,0.73,10427.0,11.8542,17012,176,145,KBSTAR
102960,2,KODEX 기계장비,4855,5,-165,-3.29,4855.0,-6.8646,26197,127,144,KODEX
289260,2,TIGER MSCI KOREA ESG리더스,7710,5,-130,-1.66,7710.0,-9.5211,174,1,143,TIGER
253160,3,ARIRANG 200선물인버스2X,7740,2,355,4.81,7767.0,16.2077,193850,1499,143,ARIRANG
352560,7,KODEX 다우존스미국리츠(H),11375,5,-330,-2.82,11406.0,-10.683,14819,168,142,KODEX
245350,4,TIGER 유로스탁스배당30,10135,5,-200,-1.94,10222.0,-3.4924,7344,74,142,TIGER
395160,2,KODEX Fn시스템반도체,6150,5,-190,-3.0,6154.0,-16.798,9513,58,141,KODEX
139250,2,TIGER 200 에너지화학,13820,5,-500,-3.49,13849.0,-11.1663,23244,321,141,TIGER
182490,6,TIGER 단기선진하이일드(합성 H),11335,5,-140,-1.22,11420.0,-0.7783,1016,11,136,TIGER
122090,1,ARIRANG 코스피50,19550,5,-455,-2.27,19546.0,-8.0864,11614,226,135,ARIRANG
289040,2,KODEX MSCI KOREA ESG유니버설,8425,5,-185,-2.15,8473.0,-9.6063,117827,992,135,KODEX
395280,2,HANARO Fn K-게임,4635,5,-140,-2.93,4630.0,-16.521,22030,102,134,HANARO
354500,1,KINDEX 코스닥150,9565,5,-265,-2.7,9654.0,-11.6405,1594,15,134,KINDEX
181480,7,KINDEX 미국다우존스리츠(합성 H),73770,5,-1940,-2.56,73890.0,-12.2,46,3,133,KINDEX
223190,2,KODEX 200가치저변동,8290,5,-180,-2.13,8290.0,-8.0847,28553,236,133,KODEX
183700,7,KBSTAR 채권혼합,55065,5,-305,-0.55,55050.0,-3.3177,108,5,132,KBSTAR
292730,1,FOCUS KRX300,13185,5,-280,-2.08,13165.0,-9.2044,6,0,132,FOCUS
300610,2,TIGER K게임,8480,5,-345,-3.91,8490.0,-12.5805,14739,127,131,TIGER
433500,2,KINDEX 원자력테마딥서치,10070,5,-395,-3.77,10068.0,,27385,278,131,KINDEX
411050,4,KINDEX 글로벌메타버스테크액티브,6540,5,-70,-1.06,6603.0,-4.9605,2109,13,131,KINDEX
411720,4,KBSTAR 글로벌메타버스Moorgate,7250,5,-75,-1.02,7544.0,-6.8659,1192,8,131,KBSTAR
239660,6,ARIRANG 우량회사채50 1년,108225,5,-40,-0.04,108274.0,-0.0785,367,39,130,ARIRANG
251590,2,ARIRANG 고배당저변동50,10310,5,-185,-1.76,10347.0,-2.5082,3467,35,129,ARIRANG
