번호,제목,생산일,조회수,내용번호
2163,주택재건축사업에서 건축물이 없는 하나의 대지를 공유한 수인 중 1인만 주민등록번호의 기재가 있고 다른 공유자는 주민등록번호와 소재가 확인되지 아니하는 경우「도시 및 주거환경정비법」(이하‘도정법’이라 함) 제16조제3항에 따른 토지소유자에 대한 동의자수 산정방법은?,2012-06-18,1335,2895486
2162,2011. 9.16 시행된 도정법 부칙 제10조가 정비구역이 아닌 구역에서의 주택재건축사업에도 적용되는지 및 각 목의 합이 2를 가진 토지등소유자에 부부(1세대)가 각각 소유하고 있는 물건의 경우도 해당이 되는지,2012-06-18,358,2895487
2161,"종전 추진위원회 운영규정(2006.8.25. 시행)에서는 정비사업전문관리업자와의 계약체결을 주민총회 의결사항으로 규정하고 있으나, 추진위원회에서 개정된 운영규정(2010.9.16. 시행)에 따른 해당 추진위원회 운영규정을 개정하지 아니하고, 개정규정을 준용하여 주민총회 의결 없이 정비사업전문관리업자와 계약체결(2011.1.31)을 할 수 있는지?",2012-06-18,225,2895489
2160,"추진위원회에서 인감도장으로 날인하지 않은 서면결의서를 제출한 경우, 추진위원회의 주민총회 출석으로 볼 수 있는지?",2012-06-18,1033,2895490
2159,"추진위원회에서 감사가 공석인 상태에서 추진위원회의를 개최하여 해당 안건을 의결한 후, 의사록에 위원장과 부위원장만이 서명한 경우, 추진위원회 의결은 유효한지?",2012-06-18,449,2895485
2158,"「도시 및 주거환경정비법」 제25조에 따라 조합의 대의원회를 구성하였으나 추후 1명의 대의원이 무자격으로 판명되어 법정 대의원 수에 미달하게 된 경우, 해당 대의원회의 구성은 무효인지",2012-06-14,345,2895484
2157,조합장은 당연히 대의원에 해당하는지,2012-06-14,548,2895483
2156,분양신청을 하지 않은 조합원 자격 상실에 관한 조합설립 변경이 「도시 및 주거환경정비법」 제16조제1항 단서 및 같은 법 시행령 제27조에 따른 경미한 사항의 변경에 해당하는지 여부,2012-06-14,276,2895482
2155,사업계획승인 대상에서 제외되는 주택건설사업을 하는 지역주택조합 설립이 가능한지,2012-06-14,2056,2895481
2154,은평주민발언대 운영,2012-06-11,172,20542851
2153,임신부 배려 민원창구,2012-06-01,578,2895617
2152,서울시 회의 전면 공개,2012-05-21,754,2897448
2151,찾아가는 문화예술공연(사랑의 문화나눔),2012-05-09,1850,2898008
2150,강남구의 보금자리주택지구 현황이 궁금합니다.,2012-05-01,926,2895090
2149,주민센터 게시판을 이용하려면?,2012-04-19,191,2895907
2148,지하수 허가공 유효기간 만료 얼마전에 연장허가를 신청해야 하나요?,2012-04-12,565,2894858
2147,공사장 가설울타리(가설휀스) 디자인에 관한 규정이 있나요?,2012-03-16,3003,2897741
2146,"마포복지목욕탕을 이용하고자 하는데 위치와 이용시간, 요금은?",2012-03-06,2563,2895744
2145,서울시 무료한방진료,2012-02-29,646,2894663
2144,"구의아리수정수센터 견학 안내 (구. 구의 정수장 문화재, 구의 문화재)",2012-02-27,2727,2896977
2143,[서울시복지재단] 자립생활주택(장애인전환서비스지원),2012-02-22,4191,2896221
2142,취업센터에서 제 개인정보를 너무 많이 알고있는것 같습니다,2012-02-20,311,2897466
2141,[2016년 사업종료] 여의도 글로벌 비즈니스 센터,2012-02-13,893,2897009
2140,"어린이집안전공제회 ( 보육시설 안전사고 보상 / 조정 , 안전사고 예방사업 )",2012-02-09,3593,2895779
2139,[노숙인] 성프란시스대학 인문학강좌,2012-02-03,2248,2895807
2138,[보건복지부] 청소년산모 임신ㆍ출산 의료비 지원 (전용카드 ' 맘편한카드' ),2012-01-16,3367,2896418
2137,주거이전비 지급대상 판단 시 뉴타운지구 전입일 기준인지 해당구역 전입일 기준인지 여부,2012-01-05,629,2896237
2136,세입자 주거이전비 및 영업손실보상 기준일?,2012-01-05,3198,2896235
2135,세종로공원 새단장 재개장,2011-12-06,2460,2898432
2134,노원독립영화감상회 상영작 안내,2011-11-25,563,2898511
2133,서울교육문화센터,2011-11-22,10158,2895777
2132,관광숙박업 헬프데스크(구.관광호텔 건립 지원센터),2011-11-22,1687,2898153
2131,[농업기술센터] 가족과 함께 사랑을 가꾸는 텃밭(주말)농원,2011-11-07,407,2898051
2130,"서울시 사회복귀시설 (누리봄, 늘푸른 집, 새오름터, 이음)",2011-10-19,4692,2897623
2129,도보10분도시 프로젝트가 무엇인가요?,2011-10-17,565,2896830
2128,목공예체험장(목예원),2011-08-26,2877,2896279
2127,청소년 성 교육 및 상담 가능한 곳 ?,2011-08-23,644,2898007
2126,송파나루공원 내 휴게소(카페)를 임대할 수 있나요?,2011-08-01,683,2897591
2125,"여성 창업 (여성가장 , 실직여성 가장) ?",2011-07-19,1584,2898190
2124,옥외 광고물등의 조명 표시방법 ?,2011-07-11,625,2895353
2123,공사장 가림벽 디자인 심의 대상인지 ?,2011-07-11,568,2895842
2122,미술작품 공모대행제 절차 및 신청서류?,2011-07-11,502,2895826
2121,건축물에 설치하는 미술작품의 가격은 ?,2011-07-11,450,2895841
2120,마포구 도시디자인 조례는 ?,2011-06-13,618,2895745
2119,미술작품 응모 작품 접수 방법 ?,2011-06-13,288,2895827
