번호,제목,생산일,조회수,내용번호
1130,품질시험계획 수립 대상공사는 ?,2009-10-12,720,2894799
1129,품질관리계획 수립 대상공사는 어떻게 됩니까 ?,2009-10-12,114,2894798
1128,일상감사 대상?,2009-10-12,167,2894797
1127,백신프로그램을 설치하면 모든 바이러스가 예방되나요?,2009-10-12,175,2894690
1126,"공무원 도박, 사기, 공갈, 협박, 무고 처분양정은",2009-10-12,838,2895191
1125,토지 한필지의 소유가 공유지분으로 나뉜 경우 보상은 전원 합의해야 하는지요?,2009-10-12,1014,2897869
1124,공무원 폭력 및 상해 처분 양정은,2009-10-12,446,2895189
1123,도로변상금부과 금액을 분할해서 낼수 있는지,2009-10-12,558,2898268
1122,공무원 음주운전 처분 양정은,2009-10-12,742,2895188
1121,공직자 재산등록시 등록 하여야 하는 재산의 종류는?,2009-10-12,709,2894796
1120,사업인정고시일 이후 건물의 세입자로 거주하는 경우도 주거이전비를 받을 수 있나요?,2009-10-12,347,2897868
1119,유아스포츠단 프로그램 운영안내,2009-10-12,518,2898277
1118,퇴직공직자 취업제한에 해당하는 업체는?,2009-10-12,138,2895280
1117,일직근무 편성 직급은 어떻게 됩니까?,2009-10-12,101,2898553
1116,공동차고지란?,2009-10-12,809,2896377
1115,구파발 인공폭포는 어디서 관리하나요?,2009-10-12,323,2896160
1114,수색역세권 개발의 주요 도입시설은?,2009-10-12,756,2895124
1113,정비사업 기본계획수립 절차는 ?,2009-10-12,363,2897670
1112,일반건축물 대장에 공용부분을 표기 할 수 있는지 여부,2009-10-12,1728,2897402
1111,도정법에서 조합설립 동의율이 얼마가 되야 조합설립인가가 되는지,2009-10-12,866,2896091
1110,재정비촉진지구의 종류는 어떻게 되나요?(재정비촉진지구의 유형),2009-10-12,265,2894501
1109,정비사업 기본계획수립 단위는 ?,2009-10-12,173,2897669
1108,민원사무란 ?,2009-10-12,237,2895187
1107,관리처분계획 기준일이란?,2009-10-12,934,2896090
1106,통신주 이설요청은 어디서 하나요?,2009-10-12,3887,2898066
1105,일상감사의 범위는,2009-10-12,1527,2894795
1104,일상감사의 목적은,2009-10-12,1488,2894794
1103,수색 증산 재정비 촉진계획의 공원 현황은?,2009-10-12,124,2896089
1102,자동차정류장이란?,2009-10-12,733,2896376
1101,명절휴가비란 무엇을 말하나요?,2009-10-12,797,2896658
1100,전용의 절차는?,2009-10-12,127,2897313
1099,자유보고방이란 무엇인가요 ?,2009-10-12,137,2895609
1098,주식백지신탁 대상은?,2009-10-12,483,2894793
1097,서울시 연수시설의 각 홈페이지 주소를 알려주세요,2009-10-12,438,2896754
1096,수색2구역(수일시장) 조합설립인가일은,2009-10-12,2280,2896088
1095,주식백지신탁 제도란?,2009-10-12,326,2894792
1094,조합임원이 관련서류 미공개시 조치사항은,2009-10-12,219,2896087
1093,퇴직자 취업제한이란?,2009-10-12,487,2894765
1092,철도의 종류?,2009-10-12,708,2896375
1091,실적공사비란?,2009-10-12,944,2894764
1090,도로측구 보수는 어디서 하나요?,2009-10-12,553,2895185
1089,공사손해보험이란?,2009-10-12,1070,2894763
1088,당연직 위원은 무엇인가요?,2009-10-12,9219,2898388
1087,기간제근로자란 무엇입니까?,2009-10-12,1439,2895184
1086,공사 품질관리란?,2009-10-12,309,2894762
1085,품질관리는 무엇입니까 ?,2009-10-12,112,2894761
1084,연구개발비란?,2009-10-12,662,2894760
1083,공사 노무비란?,2009-10-12,1403,2894759
1082,이면도로상 주차금지판은 어디서 관리하나요?,2009-10-12,838,2897088
1081,"연면적인 1,200㎡ 정도인데 수수료가 얼마인가요?",2009-10-12,6,25457403
1080,연면적이 520㎡ 정도인데 수수료가 얼마인가요?,2009-10-12,109,2894695
1079,풍납1동은 통합민원인가요?,2009-10-12,156,2896618
1078,건설기술자 배치 기준은 ?,2009-10-12,1660,2894758
1077,일반관리비란?,2009-10-12,4088,2894757
1076,고유번호증 신청은 어떻게 하나요?,2009-10-12,4607,2898065
1075,구내통신선로설비의 설치 대상은 무엇인가요?,2009-10-12,478,2894692
1074,부실 임감리 처벌 기준은 어떡해 됩니까 ?,2009-10-12,99,2894791
1073,매수청구신청양식에 기입 항목이 몇개 입니까?,2009-10-12,239,2894713
1072,제조원가란?,2009-10-12,360,2894790
1071,원가계산의 비목이란?,2009-10-12,2629,2894789
1070,감리원의 자격은 어디에 나와 았나요 ?,2009-10-12,601,2894788
1069,보조금 통장 개설시 필요한 서류는?,2009-10-12,2412,2898064
1068,서대문구 예규는 몇개인가요?,2009-10-12,203,2898306
1067,서대문구 훈령은 몇개인가요?,2009-10-12,195,2898305
1066,서대문구 규칙은 몇개인가요?,2009-10-12,179,2898304
1065,용도지역별 도로율,2009-10-12,1648,2896374
1064,"산재,고용보함료 적용 대상?",2009-10-12,265,2894787
1063,통합감리란 무엇입니까 ?,2009-10-12,642,2894786
1062,기능별 도로구분,2009-10-12,2034,2896373
1061,규모별 도로구분 (도로폭에 따른 도로 구분),2009-10-12,6677,2896385
1060,책임감리 제외 대상은 무엇입니까 ?,2009-10-12,103,2894785
1059,사용 및 형태별 도로구분,2009-10-12,512,2896384
1058,퇴직공제부금비 적용 대상은?,2009-10-12,2259,2894784
1057,부분 책임감리란 무엇입니까 ?,2009-10-12,418,2894774
1056,우리동네 골목길 청소의 날은 언제인가요!,2009-10-12,203,2898063
1055,등기가 되어 있지 아니한 건축물대장의 소유자주소를 변경하고 싶을 때는 어떻게 하나요?,2009-10-12,2153,2897180
1054,전면 책임감리란 무엇입니까 ?,2009-10-12,1260,2894773
1053,분양신청하지 아니한 자에 대한 분양대상자 인정 여부,2009-10-12,239,2896085
1052,"지상파TV, FM라디오, 위성방송의 사용주파수 대역을 알려주세요.",2009-10-12,1808,2895584
1051,청소행정과 청소차량 현황은 어떻게 되나요?,2009-10-12,252,2896593
1050,산업안전관리비 적용대상은 ?,2009-10-12,634,2894772
1049,책임감리 대상공사란 무엇입니까 ?,2009-10-12,985,2894771
1048,도시계획사업이란 ?,2009-10-12,1956,2897667
1047,산재보험료 적용방법?,2009-10-12,590,2894770
1046,서오릉로 도로유지 보수사항은 어디서 관할하나요?,2009-10-12,458,2898061
1045,도로율이란 무엇인가요?,2009-10-12,510,2897666
1044,부실벌점은 무엇입니까 ?,2009-10-12,220,2894769
1043,자연지반 보존이란?,2009-10-12,2328,2896043
1042,숙직근무 후 샤워실이용이 가능한가요?,2009-10-12,6,25040690
1041,간접노무비 산출식은?,2009-10-12,694,2894768
1040,산업안전관리비 적용기준은?,2009-10-12,1023,2894767
1039,여직원도 숙직을 하는지요?,2009-10-12,291,2895929
1038,설계 및 시공 기준이 되는 것은 무엇입니까 ?,2009-10-12,108,2894766
1037,대공방어협조구역이란?,2009-10-12,4916,2897679
1036,건설공사의 제비율 적용기준은 ?,2009-10-12,407,2894783
1035,은평뉴타운의 광역교통계획은?,2009-10-12,489,2895123
1034,도시계획시설의 &amp;amp;amp;amp;apos;녹지&amp;amp;amp;amp;apos;는 무엇인가요?,2009-10-12,421,2897678
1033,건설공사는 무엇입니까 ?,2009-10-12,112,2894782
1032,추정금액이란?,2009-10-12,795,2894781
1031,환경관리비 노임 산출 기준은 무엇입니까 ?,2009-10-12,269,2894780
1030,"퀵서비스로 손해를 입었는데, 어디다 연락을 해야하나요?",2009-10-12,637,2896042
1029,대조1구역 사업을 담당하는 구청 담당직원의 핸드폰 번호를 알고 싶습니다.,2009-10-12,254,2896590
1028,예정가격이란?,2009-10-12,582,2894779
1027,매수청구에 관한 법은 어디에 있나요?,2009-10-12,210,2894715
1026,민간건설현장 점검 근거는 무엇입니까 ?,2009-10-12,191,2894778
1025,산출기초조사서란?,2009-10-12,7056,2894777
1024,총괄내역서란?,2009-10-12,446,2894776
1023,공개공지란 무엇인가요 ?,2009-10-12,7386,2897677
1022,국립보건원의 소유권은 어디에 있나요?,2009-10-12,498,2894553
1021,금지지역 장소 중 광고물표시 가능한 곳은?,2009-10-12,195,2894913
1020,일상감사란 무엇입니까?,2009-10-12,3350,2894775
1019,복지부장관이 지정한 25개 3차 의료기관은 어디인가요?,2009-10-12,1197,2894914
1018,(도봉구)법조단지 지구계획문의,2009-10-12,180,2896383
1017,공동주택 단지 내 주민공동시설(독서실)을 개인이 독서실로 등록하여 사용료를 받고 운영할 수 있는 지,2009-10-12,505,2896882
1016,귀농하고자합니다. 농업창업 및 주택구입 지원사업은 어떻게 신청하나요?,2009-10-12,545,2894709
1015,지방공무원의 종류는 어떻게 구분되나요?,2009-10-12,135,2896187
1014,사회단체보조금의 지원범위를 알고싶어요,2009-10-09,509,2897141
1013,주민자치센터란 무엇입니까?,2009-10-09,1759,2898035
1012,테마감사란 무슨 뜻입니까 ?,2009-10-09,1693,2895183
1011,매수청구권이란 무엇입니까?,2009-10-09,2644,2894714
1010,주요 구조부란?,2009-10-09,3801,2896041
1009,시기별 종합대책 기간은 ?,2009-10-09,87,2898398
1008,건축사가 공사감리를 하여야 하는 건축물은?,2009-10-09,1398,2896055
1007,시기별 종합대책 연간 수립 횟수는?,2009-10-09,88,2898397
1006,방학2동 주민센터 홈페이지 외에 주민들이 자유롭게 이용할 수 있는 인터넷 공간이 있나요?,2009-10-09,136,2898034
1005,"건축주, 공사감리자, 공사시공자란 ?",2009-10-09,2955,2896054
1004,은평구청장의 업무추진비는 연간 얼마인가요?,2009-10-09,153,2897765
1003,대지내 조경시설 설치기준은 ?,2009-10-09,21163,2897401
1002,일상감사 제외대상은?,2009-10-09,1121,2896503
1001,일상감사란?,2009-10-09,11234,2896502
1000,일상감사 세부 검토사항은?,2009-10-09,293,2896501
999,화원의 용도는?,2009-10-09,255,2895053
998,(노원구) 노원마을학교 지원센터,2009-10-09,837,2897193
997,일상감사를 시행하는 이유는?,2009-10-09,247,2896500
996,관리처분계획기준일 이란?,2009-10-09,1242,2894101
995,건폐율이란 어떻게 산정하나요 ?,2009-10-09,560,2897676
994,역사문화 미관지구에서 건축물을 건축할 경우 몇층까지 가능한가요?,2009-10-09,2336,2896053
993,옥내통신선과 다른 전선과의 이격거리를 알려주세요.,2009-10-09,664,2895583
992,물탱크실의 면적이 건축면적에 산입되는지?,2009-10-09,1753,2897399
991,전광판에 홍보를 하고 싶은데 방법을 알고 싶습니다.,2009-10-09,179,2896474
990,정책자료집에 수록된 내용의 정보공개여부 판단은 어디서 하나요?,2009-10-09,377,2894664
989,정책자료집에는 사업과 관련된 모든 내용을 볼 수 있습니까?,2009-10-09,137,2895958
988,정책자료집은 열람할 수 있나요?,2009-10-09,705,2895957
987,재산등록을 할 때 부동산에 대한 가액산정은 어떻게 하나요?,2009-10-09,242,2895861
986,정책수행자란 누구입니까?,2009-10-09,131,2894969
985,접수하는 문서의 종류는 어떻게 됩니까?,2009-10-09,195,2895042
984,보도에 설치 된 인형뽑기 게임기는 불법인가요?,2009-10-09,3957,2897843
983,"인터넷중독예방을 위한 학생, 학부모대상 교육을 받을수 있나요?",2009-10-08,251,2895182
982,인터넷중독에 대한 무료상담을 해주는 곳이 있나요?,2009-10-08,302,2895181
981,일상감사 외부전문가 자문수당 지급기준은?,2009-10-08,2377,2896499
980,일상감사 외부전문가의 권한과 임무는?,2009-10-08,126,2896498
979,일상감사에서 외부전문가의 자문을 받는 경우는?,2009-10-08,161,2896497
978,일상감사 외부전문가 자격요건은?,2009-10-08,304,2896496
977,&apos;고도지구&apos;란?,2009-10-08,457,2895305
976,버스장착형 무인단속CCTV 설치(버스에 CCTV를 설치하여 불법주정차나 버스 전용차로 위반 단속),2009-10-08,2945,2898530
975,위생업소 단속 나가는 부분을 업주에게 미리 연락해주면 어떤 처벌을 받나요?,2009-10-08,198,2897507
974,홍제천에 시설물이 파손되었는데 어디에 신고하나요?,2009-10-08,408,2895519
973,중화체육공원에 있는 시설은?,2009-10-08,1951,2898241
972,새마을금고의 설립인가 취소사유를 알고싶어요,2009-10-08,299,2897138
971,사회단체보조금 집행 시 회계처리기준이 따로 있나요?,2009-10-08,729,2897137
970,"보조금지원이 결정된 이후 제출한 사업계획을 변경해야 하는데요,어떻게 하나요?",2009-10-08,227,2897136
969,"사회단체보조금 지원이 결정되었는데, 통보받기 전에 집행한 사업비도 지원받을수 있나요?",2009-10-08,255,2897135
968,회계연도 내에 집행하지 못한 사회단체보조금은 어떻게되나요?,2009-10-08,359,2897134
967,사회단체보조금 지원심의위원회에서는 어떤 내용을 심의하나요?,2009-10-08,195,2897133
966,교부받은 사회단체보조금은 신용카드로만 집행해야 하나요?,2009-10-08,259,2897132
965,신내3택지 국민임대 주택단지조성 사업의 위치는?,2009-10-07,150,2896052
964,도시기본계획은 몇년만에 수립하나요,2009-10-07,494,2896244
963,기반시설부담금 납부를 물납으로 하고 싶은데 어떻게 해야 하나요,2009-10-07,215,2896372
962,고객서비스 평가란 무엇인가요?,2009-10-07,178,2897910
961,중랑구민센터에서 운행하는 셔틀버스의 각 도착지 시간대가 어떻게 되나요?,2009-10-07,1000,2895604
960,연결녹지는 왜 지정 및 설치하나요 ?,2009-10-07,584,2895859
959,중랑천 둔치를 찾아가는 방법은?,2009-10-07,799,2895524
958,역세권 장기전세주택 건립관련 지구단위계획 수립 사업규모는 어떻게 되나요 ?,2009-10-07,172,2896479
957,보금자리주택 장애인 특별공급 기관추천?,2009-10-07,562,2897166
956,"굴착기 면허를 가지고 있는데, 불도저 자격증을 따게 되었습니다. 추가 발급이 가능한가요?",2009-10-06,863,2898379
955,"지방 출장중에 굴착기 면허를 잃어버렸는데, 어떻게 하면 되나요?",2009-10-06,465,2898378
954,위원회 구성시 구의원 및 여성위원의 비율은 어느정도 됩니까?,2009-10-06,153,2895516
953,건축허가에서 사용승인까지의 절차에 대한 문의.,2009-10-06,1050,2896051
952,공동주택에 있어 보수에 필요한 하자보수이행증권 사본 발급 문의,2009-10-06,1746,2896050
951,건축물대장 편제,2009-10-06,737,2896470
950,사회단체보조금 지원심의위원회는 어떻게 구성되나요?,2009-10-06,213,2897131
949,새마을금고 연합회 정관에는 어떤 사항을 기재하나요?,2009-10-06,440,2897130
948,새마을금고 변경등기 절차는 어떻게 되나요?,2009-10-06,536,2897129
947,새마을금고의 설립절차는 어떻게 되나요?,2009-10-06,1173,2897128
946,서울시에서 처리한 사무에 대한 주민감사청구는 어디에 해야 하나요?,2009-10-06,257,2895857
945,광진구에는 사회단체보조금을 지원받는 단체가 모두 몇 개 인가요?,2009-10-06,263,2897127
944,농정관련업무,2009-10-06,182,2896082
943,상봉재정비촉진지구 관련내용을 어디서 볼 수 있나요?,2009-10-06,262,2894892
942,상봉재정비촉진지구 결정 고시일은 언젠가요?,2009-10-06,179,2894891
941,동대표자가 아닌자는 입주자대표회의의 의결에 참여할 수 있나요?,2009-10-06,210,2897354
940,여객자동차터미널 위치.규모등 변경인가 신청시 구비서류는?,2009-10-05,258,2898057
939,여객자동차터미널 공사시행 인가신청기간 연장신청을 할려고 하는데 구비서류는 있는지요?,2009-10-05,200,2898056
938,여객자동차터미널공사계획변경인가신청은 어떻게하는지요?,2009-10-05,268,2898055
937,사후관리 이행신고는 어떻게 하나요?,2009-10-05,602,2898513
936,중랑사이버신춘문예는 언제 실시하나요?,2009-10-05,622,2895834
935,미관지구에 집을 지을때 규제되는게 있나요?,2009-10-05,1712,2895122
934,"용도지역내 행위제한(주거지역, 녹지지역, 상.공업지역내 가능 건축물)",2009-10-05,18230,2896468
933,권한위임 사무(서울특별시 도시계획조례 제68조 관련),2009-10-05,828,2896465
932,도시계획의 운영체계,2009-10-05,439,2894386
931,아차산 고구려 유적지에 주차장은 있나요?,2009-10-05,1124,2895217
930,LPG용기 내용적 종류,2009-10-05,1850,2896509
929,"가스관련 사업 폐지 ,개시,휴지 신고방법",2009-10-05,1994,2896510
928,부실감리자에 대한 조치사항은 무엇인가요?,2009-10-05,276,2896003
927,광진구 고구려 유적과 구리시 고구려 유적 연계 관광은 됩니까.,2009-10-05,353,2895218
926,감리자는 업무수행상황을 보고하나요?,2009-10-05,186,2898494
925,감리자의 관계서류의 인계는 어떻게 이루어지나요?,2009-10-05,203,2896002
924,휴대용 가스렌지 부탄캔용기 저장허가 대상 범위는,2009-10-05,793,2896511
923,감리원의 업무중 피해방지대책 수립 사항은 무엇입니까?,2009-10-05,231,2896001
922,감리원의 업무중 현지조사 사항은 무엇입니까?,2009-10-05,302,2896000
921,고구려정과 용마산팔각정은 광진구에서 관리하나요?,2009-10-05,397,2895219
920,대지안의 공지(인접대지경계선으로부터 띄우는 거리)에 대한 문의,2009-10-01,8014,2897665
919,수족구병,2009-10-01,883,2895121
918,감리자의 업무 범위는 어떻게 되나요?,2009-10-01,657,2895999
917,베란다와 발코니의 차이점은?,2009-10-01,1643,2896173
916,감리제도는 무엇입니까?,2009-10-01,262,2895998
915,주유소 입구 가격표시판에 다른내용을 적어도 되나요?,2009-09-30,791,2897311
914,농촌지역에 거주하시는 부모님들 같은 경우엔 대부분 농업에 종사하는데 농업도 소득으로 인정해주나요?,2009-09-30,106,2898030
913,고지거부를 할려면 고지거부 대상자가 독립생계유지가 되어야 한다고 하는데 독립생계유지란 무엇입니까?,2009-09-30,1302,2898029
912,건설회사(통신건설회사)에서 지하수를 개발하여 건물에 부속되어 있는 직원용 기숙사에 지하수를 주로 사용하고 있다면 이것을 가정용으로 보...,2009-09-30,494,2896130
911,지하수 신고 효력상실은?,2009-09-30,502,2896129
910,심의신청시 제출되는 심의도서에는 어떠한 내용이 포함되어야 하나요.?,2009-09-30,1172,2895136
909,구비서류 감축이란 무엇입니까?,2009-09-30,238,2897002
908,도시지역 용도지역의 종류는 무엇이 있나요?,2009-09-29,1706,2896234
907,공유재산에서 구거용지란,2009-09-28,2439,2895079
906,최대개발규모내에서 획지선 변경없이 공동개발을 추진할 경우에 결정권자는?,2009-09-28,725,2897310
905,주거지역의 건폐율과 용적률이 어떻게 되나요?,2009-09-28,38441,2897664
904,도로공사나 하수도공사계획은 어디에서 확인할 수 있나요?,2009-09-25,894,2896264
903,어린이집 퇴소시 환불규정은 어떻게 적용되나요?,2009-09-25,2652,2895784
902,식품별로 자가품질검사 주기는 어떻게 되나요,2009-09-25,5906,2898267
901,식품첨가물을 사용하지 않은 경우에도 자가품질검사를 반드시 받아야 하는지,2009-09-25,298,2898266
900,장애아 무상보육 지원 신청시 해당 장애아동이 만5세아 이상인 경우 반드시 장애등록을 하여야만 지원이 가능한지?,2009-09-25,270,2895298
899,전략기획이무엇입니까,2009-09-25,126,2897275
898,정책기획이란?,2009-09-25,318,2897274
897,추산이 뭐지요?,2009-09-25,20,25466703
896,재배정이 뭐지요?,2009-09-25,73,2897308
895,서울시의 재정지원제도는 무엇이 있습니까?,2009-09-25,132,2897307
894,규범적 기획이란 무었입니까?,2009-09-25,346,2897273
893,조직적 계획이란?,2009-09-25,133,2897270
892,기획과 정책결정과의 차이는 무엇인가요?,2009-09-25,198,2897269
891,기획과 계획은 무슨차이가 있나요?,2009-09-25,2083,2897268
890,기획이란 무엇인가요?,2009-09-25,171,2897277
889,서울시 인센티브사업이란 무엇인가요?,2009-09-25,465,2894829
888,신촌 YES APM 무대에서 공연을 하려면?,2009-09-25,513,2895921
887,신고포상금의 지급범위는 어떤가요,2009-09-25,576,2895249
886,사회단체란 무엇인가요?,2009-09-25,3920,2897124
885,정보통신장비의 전자파 피해는 없나요?,2009-09-24,690,2896228
884,"아파트 입주자가 공동주택 관리 현황 공개를 요청할 경우 관리주체는 이에 응해야 하는지. 또 관리주체의 역할은 무엇이며, 관리주체에 대한 지방자치...",2009-09-24,1361,2894906
883,아파트 관리규약에 &apos;관리주체는 입주자대표회의가 구성된 후에는 입주자대표회의의 선출 및 해임에 관하여 일체 관여하지 못한다. 관리...,2009-09-24,1077,2894905
882,허가신청시 검토하여야 할 법령은?,2009-09-23,379,2895996
881,"도매업무관리자,제조관리자,수입관리자 신고시 구비서류?",2009-09-23,468,2895257
880,외국에서 쓰던 건설기계를 들여와 등록하려고 합니다. 등록 가능한가요?,2009-09-23,219,2895398
879,"의약품등의 제조업 폐업, 휴업인 경우 구비서류?",2009-09-23,632,2895256
878,회원가입을 했는데 실명인증이 안되었다고 나옵니다.,2009-09-23,179,2895180
877,장애진단비용은 무료인가요?,2009-09-23,1255,2897875
876,임기연장을 위한 관리규약의 개정은 그 관리규약 개정 제안당시의 임원에 대해서는 효력이 없도록 되어 있음에도 임원이 임기연장을 추진하고 있는 경우...,2009-09-23,418,2894904
875,타인 이름 명의신탁 한 실소유자 또는 세입자의 경우 동별대표자 가 될 수 있도록 입주자 등 과반수 동의를 얻어 관리규약 을 개정한다면 가능 한지...,2009-09-23,347,2894903
874,통합메세징(UMS) 문자발송건수를 늘리려면 어떻게 하나요?,2009-09-23,216,2897304
873,동대표 후보자는 관리규약에 규정한 결격사유인 &apos;당해 공동주택에 각종 공사 또는 용역을 공급하는 업체의 임직원&apos;에...,2009-09-23,717,2894902
872,지방자치 단체란 무엇입니까?,2009-09-23,1634,2897908
871,"금전을 차용할 당시에는 직무관련자가 아니었으나, 추후 직무관련자가 되었을 경우 처리 절차는?",2009-09-22,148,2897980
870,"직무관련업체로부터 2003.7월경에 금전을 차용하였으나, 형편상 이자도 지급하지 못하고 최근 다른지역으로 전출발령이 나자 채권자가 변제를 요구하고 있습니다 이경우 행동강령도 위반인지 여부를 알고싶습니다?",2009-09-22,238,2897979
869,공무원 행동강령이 2003.5.19 시행되기 전에 직무관련자로 부터 금전을 차용하였다면 그처리 절차는 어떻게 됩니까?,2009-09-22,68,2897978
868,고압가스제조저장소설치판매 허가신청시 검토하여야 할 법령은?,2009-09-22,485,2896430
867,A 교육청공무원 갑이 A교육청 소속교육기관에서 강의를 한 경우에도 신고대상인가요?,2009-09-22,220,2897977
866,"외부강의 신고대상자인 갑이 매주 4시간씩 사립대학교 강의럴 나갈때 매월신고서 양식에 신고를 해야하는지, 아니면 일괄로 한꺼번에 신고를 해도 되는지 알고싶습니다?",2009-09-22,82,2897976
865,신문 등의 기고료나 저작권 수입료는 외부강의 신고대상이 되나요?,2009-09-22,521,2897975
864,학생들의 수학여행 또는 수련회 인솔교사들에 대한 숙식 및 교통 편의를 수련업체 등으로 부터 무료 제공받는 것은 위반이 아닌가요?,2009-09-22,91,2897974
863,"관내 직무관련단체가 직무 수행 중 부상을 당하여 입원중인 경찰관과 전의경들에게 상품권, 물품등을 전달할수 있나요?",2009-09-22,107,2897973
862,구청 공무원들로 구성된 마라통 동호회가 언론사가 주최하는 마라톤대회 참가 시구청 산하 생활체육회로 부터 예산 지원을 받을수 있나요?,2009-09-22,149,2897925
861,직무관련업체가 사업수행에 협조해 준 공로를 인정하여 담당공무원에게 공로패와 부상으로 금전을 지급할 경우 받을수 있습니까?,2009-09-22,99,2897924
860,공무원은 직무관련자 또는 관련공무원으로부터 일정금액(3만원)범위안에서 음식물 또는 편의를 접대 받을수 있나요?,2009-09-22,84,2897923
859,공용차량을 공무원 동호회 모임에 지원하는 것은 공용물의 사적사용에 해당됩니까?,2009-09-22,1097,2897922
858,업무용으로 배정된 공용차량을 출퇴근에 이용할수 있나요?,2009-09-22,1143,2897921
857,공무원이 자신의 임용 및 승진 전보 등을 위하여 상급자나 인사담당자에게 부탁하는 행위도 금지 되는건가요?,2009-09-22,346,2897920
856,소속 기관의 장이 정치인등의 부당한 청탁을 받았을 경우 처리 절차는 어떻게 됩니까?,2009-09-22,195,2897919
855,상급자의 부당한 지시에 대한 거부절차는 어떻게 됩니까?,2009-09-22,344,2897918
854,파견공무원은 어느 기관의 행동강령을 적용받나요?,2009-09-22,126,2897917
853,타기관 도시건축국장 갑이 당연직위원으로 지정되어 있는 건축심의위원회에서 심사대가로 수당을 받은 경우 외부강의?회의등의 신고대상자 입니까?,2009-09-22,300,2897972
852,공무원이 경조금품 한도 5만원을 초과하여 주고 받을수 있는 경우는 어떻게 되나요?,2009-09-22,83,2897971
851,공무원 행동강령을 위반한 경우 어떤 처벌을 받나요?,2009-09-22,675,2897970
850,공무원의 행동강령 위반행위를 신고하면 보호를 받을수 있나요?,2009-09-22,74,2897969
849,공무원 행동강령의 위반여부가 불분명한 경우에는 어떻게 해야합니까?,2009-09-22,94,2897968
848,경조사 통지를 하지 않았는데도 직무관련자가 경조사에 참석하여 50만원의 경조금을 접수한 경우 처리는 어떡해 합니까?,2009-09-22,281,2897967
847,친구의 모친 회갑연에 10만원 상당의 화환을 보낼수 있습니까?,2009-09-22,163,2897966
846,부하직원이 상급자의 경조사를 사전 양해 없이 상급자의 직무관련자에게 대신 통지하는 행위는 행동강령 위반행위 인가요??,2009-09-22,1160,2897965
845,공무원은 외부 강의 및 회의등은 신고 만 하면 근무 시간 중에도 출강할수 있나요?,2009-09-22,515,2897934
844,국민주택의 특별공급대상자는 ?,2009-09-22,294,2897164
843,비건물 이란?,2009-09-22,367,2897163
842,철거세입자란,2009-09-22,640,2897162
841,철거민이란 ?,2009-09-22,602,2897161
840,아차산성을 답사하고 싶은데요,2009-09-22,554,2895215
839,공무원은 근무시간외에 대가를 받고 외부강의 및 회의 등을 하는경우에도 신고대상이 됩니까?,2009-09-22,242,2897933
838,공무원은 대가를 받지 않는 외부강의 또는 회의등도 신고해야 합니까?,2009-09-22,118,2897932
837,K과 과장이 승진한 경우 선물을 보내주는 것이 행동강령 위반입니까?,2009-09-22,233,2897931
836,A기관 과장 갑이 부하직원인 을에게 은행대출 이자보다 높은 이자율로 금전을 대부하는것이 행동강령 위반인가요?,2009-09-22,320,2897930
835,용마산 보루,2009-09-22,789,2895214
834,관리처분계획이란?,2009-09-22,9786,2895236
833,아차산 보루,2009-09-22,1290,2895213
832,공무원 갑이 친구의 개업식에 본인 소속 기관 명칭 및 직위를 적힌 화분을 보내는 것이 행동강령 위반인가요?,2009-09-22,111,2897929
831,행동강령에 위반된다 할지라도 상급자가 지사하는 경우 부하직원은 현실적으로 거부하기 어려움.이에 따라 경우 처벌 대상이 되는건가요?,2009-09-22,198,2897928
830,공무원 행동강령 의 적용대상이 되는 공무원의 범위는?,2009-09-22,274,2897927
829,건축허가제한구역 제한사항?,2009-09-22,840,2895920
828,"보금자리주택이란? (국토교통부, 한국토지주택공사 업무임)",2009-09-22,4497,2895919
827,향응이란 무엇입니까?,2009-09-22,3691,2897926
826,선물이란 무엇입니까?,2009-09-22,67,2897964
825,점검. 단속 등의 대상자가 직무관련자가 되는 경우?,2009-09-22,96,2897963
824,민원인이 직무관련자에 해당하는 공무원의 범위는?,2009-09-22,261,2897962
823,직무관련자란 구체적으로 누구를 말하는가?,2009-09-22,204,2897961
822,부정한 방법으로 건설업등록시 처벌규정과 처벌요구 방법은 무엇인가요?,2009-09-21,438,2896231
821,기업애로 직소창구 이용방법은?,2009-09-21,273,2895212
820,건축물대장의 전환?,2009-09-21,602,2898156
819,저소득 한부모가정 취업지원 신청은 어떻게 하나요?,2009-09-21,2621,2897802
818,저소득 한부모가정 건강보험료 지원은 어떻게 되나요?,2009-09-21,3803,2897801
817,디자인위원회 심의 의뢰 시 구비서류는 무엇입니까?,2009-09-21,324,2895299
816,디자인위원회 구성인원은 몇명인가요?,2009-09-21,255,2895300
815,무료로 집도 고쳐주나요?,2009-09-21,169,2895130
814,창업지원센터 교통편은?,2009-09-21,287,2896450
813,유류 유출사고시 조치요령,2009-09-21,934,2895120
812,연장승인 신청은 몇번이 가능한가요?,2009-09-21,228,2894506
811,도시계획사업구간에 편입되어 철거되는 국민임대주택은 어떻게 결정되나요?,2009-09-21,314,2897160
810,베란다에 투명자재로 설치하면 항측에 나타나지 않나요?,2009-09-21,363,2897159
809,창동민자역사 분양에 관한 문의,2009-09-21,764,2896478
808,위반건축물에 대하여 시정공문을 받고 자진정비할 경우 어떻게 해야하나요?,2009-09-21,230,2897158
807,성매매지원자 피해시설이 광진구에 있나요?,2009-09-21,453,2897799
